project_id,description,sources,factiva_sources
1,"In 2010, China was to dispatch a 27-staff health care team to Mauritania, in addition to pharmaceuticals and medical consumables (Project ID#12532). Mauritanian Health Minister Cheikh Ould Horma signed a two-year renewable convention on the health assistance with Chinese Ambassador to Mauritania Zhang Xun. The health-care personnel will assist local doctors in the hospitals of the capital city, Nouakchott, eastern Kiffa and Selibaby on the River Senegal, as well as in research centres. The 29th medical team left China in July 2010. The duration of stay is estimated about 2 years. ","http://global.factiva.com/aa/?ref=APASENE020100610e66a0008i&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://news.shangdu.com/201/2010/06/11/2010-06-11_467757_201.shtml, Media Report, including Wikileaks; http://nai.diva-portal.org/smash/get/diva2:399727/FULLTEXT02, Other Academic (Working Paper, Dissertation)","http://global.factiva.com/aa/?ref=APASENE020100610e66a0008i&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
3,"In 2008, China's Exim Bank provided a 2 billion yuan loan to Mauritania for a 900 meter extension of the Nouakchott Port, also known as the Port of Friendship (PANPA). The port will be built by China Communications Construction Company Ltd., and should be completed within 36 months. The loan has a 2 percent interest rate, with a 20 year maturity period and a 5 year grace period. The project includes the construction of a petroleum berth, a water break point, and a 5 km dyke along the port in order to accommodate 4 ships at a time, in order to increase total trade volume to the port. The project commenced in January of 2009, launched by Mauritanian President Mohamed Ould Abdel Aziz and Chinese vice foreign minister, Zhai Jun.","http://en.ccccltd.cn/business/overseas/201011/t20101112_1559.html, Other Official Source (non-Donor, non-Recipient); http://news.xinhuanet.com/english/2009-09/26/content_12114039.htm, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=XNEWS00020100121e61l005h9&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=LL00000020080509e45c0000o&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFBZ000020091221e5c10000i&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://dazzlepod.com/cable/09NOUAKCHOTT236/, Implementing/Intermediary Agency Source","http://global.factiva.com/aa/?ref=XNEWS00020100121e61l005h9&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=LL00000020080509e45c0000o&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFBZ000020091221e5c10000i&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
6,"On May 17, 2001, the Angolan government received more than $600,000 in aid from China, aimed to alleviate the sufferings of the 115,000 people displaced by the heavy floods earlier this year. Angolan Minister of Assistance and Social Reintegration Albino Malungo spoke at the handover ceremony. The aid included 100 tons of rice, 24,000 tins of beef and luncheon meat, cooking utensils, and other daily necessities, and was distributed in Bie Province. ","http://global.factiva.com/aa/?ref=xnews00020010715dx5h004ng&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=xnews00020010715dx5h004ng&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
13,"In October 2001, China's Ambassador to Angola, Jiang Yuande, delivered 10 computers and 40 sewing machines to the Popular Movement for the Liberation of Angola policy party headquarters in Luanda. ","http://global.factiva.com/aa/?ref=bbcap00020011015dxaf002mh&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=bbcap00020011015dxaf002mh&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
20,"ZTE Telecommunications was awarded a $40 million contract in the first quarter of 2003 to build two CDMA wireless local loops (WLL) for a total of 240,000 power lines in Algeria. A Chinese news source reported that the total equipment and installation costs would be $47 million--$40 million is reportedly being underwritten with a 6.5 year tender by Chinese export credit agency Sinosure to Algeria Telecom agreed on in January 2004, and it is also reported that the Industrial and Commercial Bank of China (ICBC) and European financial institution Societe Generale are jointly funding the project. The project was completed for $32 million. Not sure the proportion funded by China. The completion of these WLLs led to another contract signing on January 1, 2005, in which ZTE will build a CDMA network focused primarily in the provinces of Tizi Ouzou, Bouira and Bejaia, that will bring total coverage in Algeria to 95%. See ID# 14734. ","http://www.cellular.co.za/news_2005/jan/010704-zte_wins_algerian_cdma_network_c.htm, Other Official Source (non-Donor, non-Recipient); http://www.newsflash.org/2004/02/hl/hl107055.htm, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=TRAFIN0020041129e0b10001t&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=WDAN000020040317e03h0001f&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://hi.baidu.com/gyyjj/blog/item/6f8122db97dde967d0164e08.html, Other Official Source (non-Donor, non-Recipient); http://www.philstar.com/headlines/44029/zte-corp-china-official-version, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=TRAFIN0020041129e0b10001t&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=WDAN000020040317e03h0001f&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
21,"On December 8, 2004 Botswana and China signed a 117 million BWP loan agreement. The Minister of Finance and Development Planning, Baledzi Gaolatlhe, said the amount would enable the Botswana Housing Corporation (BHC) to construct 725 medium and low cost houses in Maun, Jwaneng, Gaborone, Lobatse, Francistown, and Palapye. The loan is payable in 15 years at an interest rate of four per cent per annum (debated b/w media report and Botswana gov. document) with a grace period of four years. Other sources reported that The China Overseas Engineering Group Co., Ltd (COVEC) built 424 affordable houses in 2005, which was financed by a concessional loan from the Chinese government. The Botswana government report indicates that 75,703,802 CNY was delivered for the Francistown, Gaborone, and Palapye projects. It is unclear what the current status of the project is.","http://www.mmegi.bw/index.php?sid=10&aid=357&dir=2012/March/Wednesday14, Media Report, including Wikileaks; http://bw.mofcom.gov.cn/aarticle/jmxw/200408/20040800259996.html, Government Source (Donor/Recipient); http://global.factiva.com/aa/?ref=LQAF000020041210e0c80003v&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.finance.gov.bw/templates/mfdp/file/File/DEBT%20PUBLISH.pdf, Government Source (Donor/Recipient); http://bodamis.gov.bw/default.aspx, Government Source (Donor/Recipient); http://collection.europarchive.org/tna/20080305120132/http:/dfid.gov.uk/pubs/files/china-dev-africa.pdf, Other Academic (Working Paper, Dissertation)","http://global.factiva.com/aa/?ref=LQAF000020041210e0c80003v&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
23," In 2004, Chinese Ambassador to Botswana, Difu Lin, mentioned that China had provided Botswana with a free/low interest loan for the construction of a multipurpose youth centre. The project began on October 8, 2009 and was expected to be complete by July 2011. A local Chinese source reported that the project would cost US$9.5 million and would be located between the Madirelo Training Centre and Gaborone Dam. The report also stated that Zhongding International Engineering Company would be implementing the project. Chinese State Councilor Liu Yandong, accompanied by Gladys Kokorwe, the Minister of Youth, Sports, and Culture of Botswana, visited the Gaborone Multifunctional Youth Center on November 5, 2011, meaning it is likely that the project was completed at the time. The loan details for this project are unknown. ","http://www.mofcom.gov.cn/aarticle/i/jyjl/k/201103/20110307440647.html, Government Source (Donor/Recipient); http://english.hanban.org/article/2011-12/05/content_391834.htm, Other Official Source (non-Donor, non-Recipient); http://www.sundaystandard.info/article.php?NewsID=8627&GroupID=2, Media Report, including Wikileaks; http://bw.china-embassy.org/eng/jmwl/t531581.htm, Government Source (Donor/Recipient); http://global.factiva.com/aa/?ref=LQAF000020041210e0c80003v&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://bodamis.gov.bw/default.aspx, Government Source (Donor/Recipient); http://www.africaneconomicoutlook.org/countries/southern-africa/botswana/, Other Official Source (non-Donor, non-Recipient)","http://global.factiva.com/aa/?ref=LQAF000020041210e0c80003v&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
24,"In 2006, China signed an agreement granting Benin debt relief. The agreement came to fruition during Foreign Minister Li Zhaoxing's seven nation tour through Africa. Transaction amount was not published however China also committed 36 million dollars in economic aid after the foreign minister's visit. It is unclear if the debt relief was included in the 36 million of economic aid that was granted.","http://www.china.org.cn/english/international/195198.htm, Implementing/Intermediary Agency Source; http://global.factiva.com/aa/?ref=OANA000020070106e316000p6&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFPR000020061231e2cv009n9&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://news.xinhuanet.com/english/china/2014-07/10/c_133474011.htm, Government Source (Donor/Recipient); https://www.devex.com/news/china-offers-debt-relief-aid-to-benin-49933, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=OANA000020070106e316000p6&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFPR000020061231e2cv009n9&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
29,"China has been sending medical teams to Botswana since 1981. China originally signed the agreement to send medical teams to Botswana in 1981. Fujian province is responsible for sending the teams. The 11th medical team is comprised of 46 members.In 2005, China and Botswana signed a protocol on sending medical teams. Under this protocol, the Chinese government agreed to send a team consisting of 41 medical staff and 5 support staff for three years. The financial value for this project and current status is unknown. ","http://www.focac.org/chn/zfyhj/t229450.htm, Government Source (Donor/Recipient); http://www.mmegi.bw/2005/November/Wednesday23/5721009251143.html, Media Report, including Wikileaks; http://nai.diva-portal.org/smash/get/diva2:399727/FULLTEXT02, Other Academic (Working Paper, Dissertation); http://shlx.chinalawinfo.com/newlaw2002/SLC/SLC.asp?Db=eag&Gid=100669356, Other Academic (Working Paper, Dissertation)",
31,"On July 17, 2006, China and Botswana signed an agreement to renew a housing project started in 1998 with a new concessional loan of 55 million BWP. The project involves the construction of 293 housing units in Gaborone. The loan reportedly has a grant element of 33 percent. However, it also reportedly has a 3 percent interest rate, and a ten-year repayment period. It would be difficult to achieve a grant element of 33% with those loan attributes if part of the loan was not given as a grant. It is unclear how the grant element listed in the source was calculated, but our database estimation is a grant element of only 25%. 

The project, implemented by the China National Overseas Engineering Corporation, included low and mid-range residential single-layer brick structures, water supply and drainage, and well as outdoor walls, and was started on January 26, 2006. The current status of this project cannot be found.","http://www.cablegatesearch.net/cable.php?id=06GABORONE933, Media Report, including Wikileaks; http://allafrica.com/stories/200607170295.html, Media Report, including Wikileaks; http://www.eximbank.gov.cn/topic/hwtz/2006/5_06.doc, Government Source (Donor/Recipient)",
