S.no.,Public Group name,url_fb,19 April Status,Primary Group Category (Anti-Vaxx/General info on vaccines/Pro-Vaxx/Vaccination Finder/Mixed....Add new ones as you see fit),Secondary Group Category,Group Size (Add no. of members),Terms_start (Term that got you here),RA Name (Coder),startdate_tracking,Notes,April13_Status
1,Vaccines save lives,https://www.facebook.com/groups/2461716592/,Active,Pro-Vaxx,,9.7,,Isra,4/13/21,,
2,Vaccinations 101,https://www.facebook.com/groups/1685672461747101/,Active,Pro-Vaxx,,76,,Isra,4/13/21,,
3,"against covid-19 vaccine, we are not â€˜anti-vaxâ€™ in general, we are anti-rna",https://www.facebook.com/groups/2810215742578373/,Active,Anti-Vaxx,,39,,Isra,4/13/21,,
4,Anti-Vax COVID Proof & Science,https://www.facebook.com/groups/antivax.covid.proof.science/,Group is up but no result on crowdtangle,Anti-Vaxx,,9,,Isra,4/13/21,Yellow ones are either deactivated or became private groups (UlaÅŸ),
5,Report COVID-19 vaccine side effects,https://www.facebook.com/groups/covid19vaccination/,Active,General info on vaccines,,1200,,Isra,4/13/21,,
6,Covid-19 Vaccine Side Effects,https://www.facebook.com/groups/trustthescience/,Active,General info on vaccines,,134,,Isra,4/13/21,,
7,fight against the vaccine,https://www.facebook.com/groups/126222112730529/,Active,Anti-Vaxx,,36,,Isra,4/13/21,,
8,Anti-Vax,https://www.facebook.com/groups/1292370277827101/,Active,Anti-Vaxx,,4,,Isra,4/13/21,,
9,Anti-(Covid)-Vax,https://www.facebook.com/groups/274116594252522/,Active,Anti-Vaxx,,7,,Isra,4/13/21,,
10,we don't want corona vaccination,https://www.facebook.com/groups/403567687567950/,Active,Anti-Vaxx,,31,,Isra,4/13/21,,
11,No Vaccine for me,https://www.facebook.com/groups/230048831789595/,Active,Anti-Vaxx,,178,,Isra,4/13/21,,
12,Anti vax moms revamped,https://www.facebook.com/groups/925267034960365/,Active,Anti-Vaxx,,4,,Isra,4/13/21,,
13,Enlightened ğŸŒ Anti - COVID / Vaccine ğŸ¡,https://www.facebook.com/groups/207706757360830/,Active,Anti-Vaxx,,32,,Isra,4/13/21,,
14,Forum / Info from people who have taken the Covid19 Vaccine,https://www.facebook.com/groups/361510341581131/,Active,General info on vaccines,,702,,UlaÅŸ,4/13/21,I have added groups that have both anti and pro-vaxx comments but also broader discussions about vaxx under the General on Vaxx,
15,Unofficial Covid-19 Vaccine Long Term Side Effects Support Group,https://www.facebook.com/groups/453745799010178/,Became private,General info on vaccines,,513,,UlaÅŸ,4/13/21,,Was Made private
16,I Got the COVID Vaccine!,https://www.facebook.com/groups/igotthecovidvaccine/,Active,Pro-Vaxx,,5300,,UlaÅŸ,4/13/21,,
17,Iâ€™ve had the Pfizer/BioNTech Vaccine,https://www.facebook.com/groups/695202504514773/,Active,General info on vaccines,,1400,,UlaÅŸ,4/13/21,,
18,Christians rejecting Covid-19 Vaccine,https://www.facebook.com/groups/299208331360137/,Active,Anti-Vaxx,,718,,UlaÅŸ,4/13/21,Was already included in the 26 sample tracked ,
19,Covid-19 Vaccination Reactions and Feedback,https://www.facebook.com/groups/3542946435834916/,Active,General info on vaccines,,4000,,UlaÅŸ,4/13/21,,
20,anti vax,https://www.facebook.com/groups/2949402658635530/,Active,Anti-Vaxx,,63,,UlaÅŸ,4/13/21,,
21,Oregonians Against Vaccine Passports,https://www.facebook.com/groups/883171925795404/,Active,Anti-Vaxx-Passport,,23,,UlaÅŸ,4/13/21,They are not necessarily against vaxx but I thought these groups may contain anti-vaxx information,
22,Vermilion residents against vaccine passports,https://www.facebook.com/groups/278509487195490/,Active,Anti-Vaxx-Passport,,41,,UlaÅŸ,4/13/21,,
23,Death or Injury By Vaccines,https://www.facebook.com/groups/332538717452298/,Active,Anti-Vaxx,,261,,UlaÅŸ,4/13/21,,
24,Coronavirus Vaccine allergic reaction Concerns!!!,https://www.facebook.com/groups/411939796827566/,Active,General info on vaccines,,92,,UlaÅŸ,4/13/21,,
25,Say NO To Experimental Vaccines,https://www.facebook.com/groups/976057013132621/,Active,Anti-Vaxx,,48,,UlaÅŸ,4/13/21,,
26,Vaccine Memorial Page: Remembering those lost forever,https://www.facebook.com/groups/VaccineMemorialPage/,Active,Anti-Vaxx,,4100,,UlaÅŸ,4/13/21,Was already included in the 26 sample tracked ,
27,Texans Against Vaccine Passports,https://www.facebook.com/groups/213105787259587/,Active,Anti-Vaxx-Passport,,257,,UlaÅŸ,4/13/21,,
28,United Against Mandatory Vaccinations,https://www.facebook.com/groups/2909060679195379/,Active,Anti-Vaxx,,616,,UlaÅŸ,4/13/21,,
29,No COVID Vaccine For Me!,https://www.facebook.com/groups/731275734362140/,Active,Anti-Vaxx,,185,,UlaÅŸ,4/13/21,,
30,Vaccine Genocide,https://www.facebook.com/groups/471929140471600/,Active,Anti-Vaxx,,102,,UlaÅŸ,4/13/21,,
31,Vaccine Class Action Complaint,https://www.facebook.com/groups/834880043345099/,Active,Anti-Vaxx,,3600,,UlaÅŸ,4/13/21,Was already included in the 26 sample tracked ,
32,NO VACCINE PASSPORTS,https://www.facebook.com/groups/1616972668504795/,Active,Anti-Vaxx-Passport,,202,,UlaÅŸ,4/13/21,,
33,"Vaccines Exposed, The Truth about Vaccines",https://www.facebook.com/groups/4098987440117723/,Active,Anti-Vaxx,,247,,UlaÅŸ,4/13/21,,
34,VEGANS & VEGETARIANS AGAINST VACCINATION,https://www.facebook.com/groups/276210592405535/,Active,Anti-Vaxx,,1500,,UlaÅŸ,4/13/21,,
35,Pfizer Proud,https://www.facebook.com/groups/448824122944405/,Active,Pro-Vaxx,,247,pfizer,Julia,4/13/21,,
36,COVID-19 vaccination side effects,https://www.facebook.com/groups/1246857672350273/,Active,Anti-Vaxx,,853,pfizer,Julia,4/13/21,,
37,Covid 19 Vaccination Recipient Experiences,https://www.facebook.com/groups/711885896130342/,Active,General info on vaccines,,2.1,pfizer,Julia,4/13/21,,
38,Covid-19 Vaccinated Club,https://www.facebook.com/groups/376519606747346/,Active,General info on vaccines,,355,pfizer,Julia,4/13/21,,
39,Austin COVID Vaccine Finders,https://www.facebook.com/groups/911500172937088/,Active,Vaccination Finder,,4.2,pfizer,Julia,4/13/21,,
40,MA Covid Vaccine Scheduling,https://www.facebook.com/groups/242266264281546/,Active,Vaccination Finder,,478,pfizer,Julia,4/13/21,,
41,Happy Jabs,https://www.facebook.com/groups/5256696951037364/,Active,Pro-Vaxx,,228,pfizer,Julia,4/13/21,,
42,COVID TRIAL PARTICIPANTS,https://www.facebook.com/groups/348335966422985/,Active,General info on vaccines,,515,pfizer,Julia,4/13/21,,
43,Side Effects from Covid Shots (no censoring),https://www.facebook.com/groups/193651922148266/,Active,Anti-Vaxx,,182,side effect,Julia,4/13/21,,
44,COVID-19 Vaccine Side Effects,https://www.facebook.com/groups/263673865149878/,Active,General info on vaccines,,179,side effect,Julia,4/13/21,,
45,COVID-19 Vaccination side effects and reactions,https://www.facebook.com/groups/1100924840381516/,Active,General info on vaccines,,267,side effect,Julia,4/13/21,,
46,Coronavirus: (un)expected side effects,https://www.facebook.com/groups/799896213828058/,Active,General info on vaccines,,265,side effect,Julia,4/13/21,,
47,COVID-19 Vaccine Side Effects,https://www.facebook.com/groups/allvaccinesarefake/,Active,Anti-Vaxx,,114.7,side effect,Julia,4/13/21,,
48,Open discussion: your personal vax side effects,https://www.facebook.com/groups/1334462660273052/,Active,Anti-Vaxx,,833,side effect,Julia,4/13/21,,
49,Covid-19 and Vitamin D Support Group,https://www.facebook.com/groups/548351309400287/,Active,General info on vaccines,,286,Vitamin D,Julia,4/13/21,,
50,Protect with Vitamin D against Covid-19! IMPORTANT!,https://www.facebook.com/groups/654795611751847/,Active,General info on vaccines,,785,Vitamin D,Julia,4/13/21,,
